id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.02
1 ; pyramid_range3_3d_agents ; 2 ; 0.03
2 ; pyramid_range3_3d_agents ; 2 ; 0.03
3 ; pyramid_range3_3d_agents ; 2 ; 0.03
4 ; pyramid_range3_3d_agents ; 2 ; 0.03
5 ; pyramid_range3_3d_agents ; 2 ; 0.04
6 ; pyramid_range3_3d_agents ; 2 ; 0.04
7 ; pyramid_range3_3d_agents ; 5 ; 0.04
8 ; pyramid_range3_3d_agents ; 10 ; 0.04
9 ; pyramid_range3_3d_agents ; 5 ; 0.05
10 ; pyramid_range3_3d_agents ; 5 ; 0.05
11 ; pyramid_range3_3d_agents ; 5 ; 0.05
12 ; pyramid_range3_3d_agents ; 10 ; 0.05
13 ; pyramid_range3_3d_agents ; 2 ; 0.06
14 ; pyramid_range3_3d_agents ; 2 ; 0.06
15 ; pyramid_range3_3d_agents ; 2 ; 0.06
16 ; pyramid_range3_3d_agents ; 5 ; 0.06
17 ; pyramid_range3_3d_agents ; 5 ; 0.06
18 ; pyramid_range3_3d_agents ; 5 ; 0.06
19 ; pyramid_range3_3d_agents ; 15 ; 0.06
20 ; pyramid_range3_3d_agents ; 2 ; 0.07
21 ; pyramid_range3_3d_agents ; 2 ; 0.07
22 ; pyramid_range3_3d_agents ; 2 ; 0.07
23 ; pyramid_range3_3d_agents ; 2 ; 0.07
24 ; pyramid_range3_3d_agents ; 2 ; 0.07
25 ; pyramid_range3_3d_agents ; 2 ; 0.07
26 ; pyramid_range3_3d_agents ; 5 ; 0.07
27 ; pyramid_range3_3d_agents ; 5 ; 0.07
28 ; pyramid_range3_3d_agents ; 5 ; 0.07
29 ; pyramid_range3_3d_agents ; 5 ; 0.07
30 ; pyramid_range3_3d_agents ; 5 ; 0.07
31 ; pyramid_range3_3d_agents ; 5 ; 0.07
32 ; pyramid_range3_3d_agents ; 10 ; 0.07
33 ; pyramid_range3_3d_agents ; 10 ; 0.07
34 ; pyramid_range3_3d_agents ; 15 ; 0.07
35 ; pyramid_range3_3d_agents ; 2 ; 0.08
36 ; pyramid_range3_3d_agents ; 2 ; 0.08
37 ; pyramid_range3_3d_agents ; 2 ; 0.08
38 ; pyramid_range3_3d_agents ; 5 ; 0.08
39 ; pyramid_range3_3d_agents ; 5 ; 0.08
40 ; pyramid_range3_3d_agents ; 10 ; 0.08
41 ; pyramid_range3_3d_agents ; 10 ; 0.08
42 ; pyramid_range3_3d_agents ; 15 ; 0.08
43 ; pyramid_range3_3d_agents ; 15 ; 0.08
44 ; pyramid_range3_3d_agents ; 5 ; 0.09
45 ; pyramid_range3_3d_agents ; 5 ; 0.09
46 ; pyramid_range3_3d_agents ; 5 ; 0.09
47 ; pyramid_range3_3d_agents ; 5 ; 0.09
48 ; pyramid_range3_3d_agents ; 10 ; 0.09
49 ; pyramid_range3_3d_agents ; 10 ; 0.09
50 ; pyramid_range3_3d_agents ; 10 ; 0.1
51 ; pyramid_range3_3d_agents ; 10 ; 0.1
52 ; pyramid_range3_3d_agents ; 15 ; 0.1
53 ; pyramid_range3_3d_agents ; 15 ; 0.1
54 ; pyramid_range3_3d_agents ; 15 ; 0.1
55 ; pyramid_range3_3d_agents ; 5 ; 0.11
56 ; pyramid_range3_3d_agents ; 10 ; 0.11
57 ; pyramid_range3_3d_agents ; 10 ; 0.11
58 ; pyramid_range3_3d_agents ; 15 ; 0.11
59 ; pyramid_range3_3d_agents ; 10 ; 0.12
60 ; pyramid_range3_3d_agents ; 10 ; 0.12
61 ; pyramid_range3_3d_agents ; 15 ; 0.12
62 ; pyramid_range3_3d_agents ; 15 ; 0.13
63 ; pyramid_range3_3d_agents ; 20 ; 0.13
64 ; pyramid_range3_3d_agents ; 10 ; 0.14
65 ; pyramid_range3_3d_agents ; 20 ; 0.14
66 ; pyramid_range3_3d_agents ; 2 ; 0.15
67 ; pyramid_range3_3d_agents ; 10 ; 0.15
68 ; pyramid_range3_3d_agents ; 10 ; 0.15
69 ; pyramid_range3_3d_agents ; 15 ; 0.15
70 ; pyramid_range3_3d_agents ; 20 ; 0.15
71 ; pyramid_range3_3d_agents ; 20 ; 0.15
72 ; pyramid_range3_3d_agents ; 10 ; 0.16
73 ; pyramid_range3_3d_agents ; 20 ; 0.16
74 ; pyramid_range3_3d_agents ; 20 ; 0.16
75 ; pyramid_range3_3d_agents ; 10 ; 0.17
76 ; pyramid_range3_3d_agents ; 15 ; 0.17
77 ; pyramid_range3_3d_agents ; 10 ; 0.18
78 ; pyramid_range3_3d_agents ; 15 ; 0.18
79 ; pyramid_range3_3d_agents ; 20 ; 0.18
80 ; pyramid_range3_3d_agents ; 15 ; 0.19
81 ; pyramid_range3_3d_agents ; 15 ; 0.2
