id ; Experiment ; nb_agents ; cost
0 ; offices_range1_agents ; 5 ; 15.0
1 ; offices_range1_agents ; 5 ; 19.0
2 ; offices_range1_agents ; 2 ; 22.0
3 ; offices_range1_agents ; 2 ; 26.0
4 ; offices_range1_agents ; 2 ; 26.0
5 ; offices_range1_agents ; 2 ; 27.0
6 ; offices_range1_agents ; 5 ; 27.0
7 ; offices_range1_agents ; 2 ; 31.0
8 ; offices_range1_agents ; 2 ; 34.0
9 ; offices_range1_agents ; 2 ; 35.0
10 ; offices_range1_agents ; 5 ; 38.0
11 ; offices_range1_agents ; 5 ; 40.0
12 ; offices_range1_agents ; 5 ; 40.0
13 ; offices_range1_agents ; 10 ; 40.0
14 ; offices_range1_agents ; 2 ; 41.0
15 ; offices_range1_agents ; 10 ; 41.0
16 ; offices_range1_agents ; 2 ; 43.0
17 ; offices_range1_agents ; 2 ; 43.0
18 ; offices_range1_agents ; 5 ; 43.0
19 ; offices_range1_agents ; 15 ; 43.0
20 ; offices_range1_agents ; 5 ; 44.0
21 ; offices_range1_agents ; 10 ; 44.0
22 ; offices_range1_agents ; 2 ; 45.0
23 ; offices_range1_agents ; 10 ; 47.0
24 ; offices_range1_agents ; 10 ; 48.0
25 ; offices_range1_agents ; 2 ; 49.0
26 ; offices_range1_agents ; 2 ; 49.0
27 ; offices_range1_agents ; 2 ; 51.0
28 ; offices_range1_agents ; 2 ; 52.0
29 ; offices_range1_agents ; 5 ; 56.0
30 ; offices_range1_agents ; 5 ; 65.0
31 ; offices_range1_agents ; 30 ; 65.0
32 ; offices_range1_agents ; 2 ; 67.0
33 ; offices_range1_agents ; 2 ; 70.0
34 ; offices_range1_agents ; 2 ; 70.0
35 ; offices_range1_agents ; 15 ; 72.0
36 ; offices_range1_agents ; 5 ; 73.0
37 ; offices_range1_agents ; 5 ; 74.0
38 ; offices_range1_agents ; 10 ; 74.0
39 ; offices_range1_agents ; 2 ; 75.0
40 ; offices_range1_agents ; 15 ; 75.0
41 ; offices_range1_agents ; 20 ; 75.0
42 ; offices_range1_agents ; 15 ; 77.0
43 ; offices_range1_agents ; 15 ; 77.0
44 ; offices_range1_agents ; 15 ; 78.0
45 ; offices_range1_agents ; 15 ; 80.0
46 ; offices_range1_agents ; 2 ; 83.0
47 ; offices_range1_agents ; 5 ; 86.0
48 ; offices_range1_agents ; 5 ; 86.0
49 ; offices_range1_agents ; 5 ; 87.0
50 ; offices_range1_agents ; 30 ; 89.0
51 ; offices_range1_agents ; 10 ; 92.0
52 ; offices_range1_agents ; 10 ; 93.0
53 ; offices_range1_agents ; 10 ; 95.0
54 ; offices_range1_agents ; 5 ; 96.0
55 ; offices_range1_agents ; 15 ; 96.0
56 ; offices_range1_agents ; 5 ; 97.0
57 ; offices_range1_agents ; 15 ; 97.0
58 ; offices_range1_agents ; 30 ; 98.0
59 ; offices_range1_agents ; 5 ; 103.0
60 ; offices_range1_agents ; 15 ; 104.0
61 ; offices_range1_agents ; 10 ; 106.0
62 ; offices_range1_agents ; 5 ; 108.0
63 ; offices_range1_agents ; 15 ; 112.0
64 ; offices_range1_agents ; 15 ; 114.0
65 ; offices_range1_agents ; 15 ; 116.0
66 ; offices_range1_agents ; 20 ; 118.0
67 ; offices_range1_agents ; 10 ; 121.0
68 ; offices_range1_agents ; 30 ; 121.0
69 ; offices_range1_agents ; 40 ; 121.0
70 ; offices_range1_agents ; 30 ; 128.0
71 ; offices_range1_agents ; 40 ; 132.0
72 ; offices_range1_agents ; 15 ; 135.0
73 ; offices_range1_agents ; 20 ; 137.0
74 ; offices_range1_agents ; 30 ; 142.0
75 ; offices_range1_agents ; 15 ; 143.0
76 ; offices_range1_agents ; 30 ; 144.0
77 ; offices_range1_agents ; 40 ; 144.0
78 ; offices_range1_agents ; 10 ; 153.0
79 ; offices_range1_agents ; 10 ; 154.0
80 ; offices_range1_agents ; 15 ; 154.0
81 ; offices_range1_agents ; 30 ; 163.0
82 ; offices_range1_agents ; 30 ; 163.0
83 ; offices_range1_agents ; 15 ; 166.0
84 ; offices_range1_agents ; 30 ; 166.0
85 ; offices_range1_agents ; 40 ; 171.0
86 ; offices_range1_agents ; 40 ; 172.0
