id ; Experiment ; nb_agents ; cost
0 ; offices_range1_agents ; 5 ; 19.0
1 ; offices_range1_agents ; 2 ; 22.0
2 ; offices_range1_agents ; 2 ; 26.0
3 ; offices_range1_agents ; 2 ; 26.0
4 ; offices_range1_agents ; 2 ; 27.0
5 ; offices_range1_agents ; 10 ; 27.0
6 ; offices_range1_agents ; 2 ; 31.0
7 ; offices_range1_agents ; 2 ; 34.0
8 ; offices_range1_agents ; 15 ; 34.0
9 ; offices_range1_agents ; 2 ; 35.0
10 ; offices_range1_agents ; 5 ; 37.0
11 ; offices_range1_agents ; 5 ; 38.0
12 ; offices_range1_agents ; 5 ; 39.0
13 ; offices_range1_agents ; 10 ; 39.0
14 ; offices_range1_agents ; 2 ; 41.0
15 ; offices_range1_agents ; 5 ; 41.0
16 ; offices_range1_agents ; 5 ; 41.0
17 ; offices_range1_agents ; 5 ; 42.0
18 ; offices_range1_agents ; 2 ; 43.0
19 ; offices_range1_agents ; 2 ; 43.0
20 ; offices_range1_agents ; 10 ; 43.0
21 ; offices_range1_agents ; 2 ; 45.0
22 ; offices_range1_agents ; 5 ; 48.0
23 ; offices_range1_agents ; 15 ; 48.0
24 ; offices_range1_agents ; 2 ; 49.0
25 ; offices_range1_agents ; 2 ; 49.0
26 ; offices_range1_agents ; 10 ; 49.0
27 ; offices_range1_agents ; 20 ; 49.0
28 ; offices_range1_agents ; 2 ; 51.0
29 ; offices_range1_agents ; 2 ; 52.0
30 ; offices_range1_agents ; 15 ; 55.0
31 ; offices_range1_agents ; 5 ; 56.0
32 ; offices_range1_agents ; 15 ; 56.0
33 ; offices_range1_agents ; 5 ; 62.0
34 ; offices_range1_agents ; 20 ; 63.0
35 ; offices_range1_agents ; 2 ; 67.0
36 ; offices_range1_agents ; 30 ; 68.0
37 ; offices_range1_agents ; 10 ; 69.0
38 ; offices_range1_agents ; 2 ; 70.0
39 ; offices_range1_agents ; 2 ; 70.0
40 ; offices_range1_agents ; 20 ; 71.0
41 ; offices_range1_agents ; 5 ; 73.0
42 ; offices_range1_agents ; 15 ; 73.0
43 ; offices_range1_agents ; 20 ; 73.0
44 ; offices_range1_agents ; 2 ; 75.0
45 ; offices_range1_agents ; 10 ; 79.0
46 ; offices_range1_agents ; 20 ; 81.0
47 ; offices_range1_agents ; 2 ; 83.0
48 ; offices_range1_agents ; 5 ; 84.0
49 ; offices_range1_agents ; 5 ; 86.0
50 ; offices_range1_agents ; 5 ; 87.0
51 ; offices_range1_agents ; 15 ; 89.0
52 ; offices_range1_agents ; 15 ; 89.0
53 ; offices_range1_agents ; 10 ; 90.0
54 ; offices_range1_agents ; 15 ; 91.0
55 ; offices_range1_agents ; 20 ; 92.0
56 ; offices_range1_agents ; 5 ; 95.0
57 ; offices_range1_agents ; 30 ; 97.0
58 ; offices_range1_agents ; 30 ; 98.0
59 ; offices_range1_agents ; 5 ; 99.0
60 ; offices_range1_agents ; 5 ; 99.0
61 ; offices_range1_agents ; 10 ; 102.0
62 ; offices_range1_agents ; 15 ; 107.0
63 ; offices_range1_agents ; 5 ; 108.0
64 ; offices_range1_agents ; 10 ; 112.0
65 ; offices_range1_agents ; 30 ; 112.0
66 ; offices_range1_agents ; 30 ; 112.0
67 ; offices_range1_agents ; 20 ; 116.0
68 ; offices_range1_agents ; 30 ; 117.0
69 ; offices_range1_agents ; 5 ; 118.0
70 ; offices_range1_agents ; 20 ; 120.0
71 ; offices_range1_agents ; 50 ; 121.0
72 ; offices_range1_agents ; 15 ; 122.0
73 ; offices_range1_agents ; 30 ; 122.0
74 ; offices_range1_agents ; 20 ; 124.0
75 ; offices_range1_agents ; 20 ; 124.0
76 ; offices_range1_agents ; 40 ; 126.0
77 ; offices_range1_agents ; 30 ; 127.0
78 ; offices_range1_agents ; 20 ; 129.0
79 ; offices_range1_agents ; 30 ; 130.0
80 ; offices_range1_agents ; 15 ; 132.0
81 ; offices_range1_agents ; 40 ; 133.0
82 ; offices_range1_agents ; 15 ; 135.0
83 ; offices_range1_agents ; 15 ; 138.0
84 ; offices_range1_agents ; 20 ; 138.0
85 ; offices_range1_agents ; 10 ; 140.0
86 ; offices_range1_agents ; 40 ; 145.0
87 ; offices_range1_agents ; 15 ; 147.0
88 ; offices_range1_agents ; 50 ; 148.0
89 ; offices_range1_agents ; 30 ; 149.0
90 ; offices_range1_agents ; 10 ; 152.0
91 ; offices_range1_agents ; 15 ; 154.0
92 ; offices_range1_agents ; 30 ; 157.0
93 ; offices_range1_agents ; 30 ; 164.0
94 ; offices_range1_agents ; 15 ; 167.0
95 ; offices_range1_agents ; 20 ; 172.0
96 ; offices_range1_agents ; 20 ; 179.0
97 ; offices_range1_agents ; 60 ; 179.0
98 ; offices_range1_agents ; 50 ; 181.0
99 ; offices_range1_agents ; 30 ; 184.0
100 ; offices_range1_agents ; 40 ; 184.0
101 ; offices_range1_agents ; 15 ; 188.0
102 ; offices_range1_agents ; 10 ; 189.0
103 ; offices_range1_agents ; 10 ; 191.0
104 ; offices_range1_agents ; 50 ; 191.0
105 ; offices_range1_agents ; 5 ; 196.0
106 ; offices_range1_agents ; 50 ; 197.0
107 ; offices_range1_agents ; 10 ; 199.0
108 ; offices_range1_agents ; 15 ; 200.0
109 ; offices_range1_agents ; 40 ; 202.0
110 ; offices_range1_agents ; 40 ; 202.0
111 ; offices_range1_agents ; 40 ; 208.0
112 ; offices_range1_agents ; 40 ; 211.0
113 ; offices_range1_agents ; 40 ; 213.0
114 ; offices_range1_agents ; 50 ; 217.0
115 ; offices_range1_agents ; 15 ; 220.0
116 ; offices_range1_agents ; 20 ; 221.0
117 ; offices_range1_agents ; 40 ; 223.0
118 ; offices_range1_agents ; 60 ; 230.0
119 ; offices_range1_agents ; 40 ; 233.0
120 ; offices_range1_agents ; 80 ; 236.0
121 ; offices_range1_agents ; 10 ; 239.0
122 ; offices_range1_agents ; 50 ; 239.0
123 ; offices_range1_agents ; 40 ; 241.0
124 ; offices_range1_agents ; 50 ; 244.0
125 ; offices_range1_agents ; 30 ; 245.0
126 ; offices_range1_agents ; 60 ; 247.0
127 ; offices_range1_agents ; 40 ; 248.0
128 ; offices_range1_agents ; 50 ; 249.0
129 ; offices_range1_agents ; 10 ; 252.0
130 ; offices_range1_agents ; 60 ; 254.0
131 ; offices_range1_agents ; 50 ; 255.0
132 ; offices_range1_agents ; 40 ; 256.0
133 ; offices_range1_agents ; 15 ; 257.0
134 ; offices_range1_agents ; 60 ; 265.0
135 ; offices_range1_agents ; 50 ; 268.0
136 ; offices_range1_agents ; 60 ; 274.0
137 ; offices_range1_agents ; 30 ; 280.0
138 ; offices_range1_agents ; 20 ; 281.0
139 ; offices_range1_agents ; 50 ; 288.0
140 ; offices_range1_agents ; 60 ; 290.0
141 ; offices_range1_agents ; 40 ; 293.0
142 ; offices_range1_agents ; 50 ; 293.0
143 ; offices_range1_agents ; 50 ; 295.0
144 ; offices_range1_agents ; 30 ; 296.0
145 ; offices_range1_agents ; 40 ; 296.0
146 ; offices_range1_agents ; 60 ; 314.0
147 ; offices_range1_agents ; 60 ; 317.0
148 ; offices_range1_agents ; 30 ; 324.0
149 ; offices_range1_agents ; 20 ; 325.0
150 ; offices_range1_agents ; 60 ; 325.0
151 ; offices_range1_agents ; 30 ; 328.0
152 ; offices_range1_agents ; 30 ; 330.0
153 ; offices_range1_agents ; 20 ; 343.0
154 ; offices_range1_agents ; 60 ; 346.0
155 ; offices_range1_agents ; 50 ; 349.0
156 ; offices_range1_agents ; 40 ; 350.0
157 ; offices_range1_agents ; 10 ; 359.0
158 ; offices_range1_agents ; 50 ; 361.0
159 ; offices_range1_agents ; 20 ; 363.0
160 ; offices_range1_agents ; 40 ; 363.0
161 ; offices_range1_agents ; 60 ; 366.0
162 ; offices_range1_agents ; 60 ; 381.0
163 ; offices_range1_agents ; 60 ; 382.0
164 ; offices_range1_agents ; 60 ; 389.0
165 ; offices_range1_agents ; 60 ; 391.0
