id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.03
1 ; pyramid_range3_3d_agents ; 2 ; 0.03
2 ; pyramid_range3_3d_agents ; 5 ; 0.03
3 ; pyramid_range3_3d_agents ; 2 ; 0.04
4 ; pyramid_range3_3d_agents ; 2 ; 0.04
5 ; pyramid_range3_3d_agents ; 2 ; 0.04
6 ; pyramid_range3_3d_agents ; 2 ; 0.04
7 ; pyramid_range3_3d_agents ; 2 ; 0.04
8 ; pyramid_range3_3d_agents ; 2 ; 0.04
9 ; pyramid_range3_3d_agents ; 2 ; 0.04
10 ; pyramid_range3_3d_agents ; 5 ; 0.04
11 ; pyramid_range3_3d_agents ; 5 ; 0.04
12 ; pyramid_range3_3d_agents ; 5 ; 0.04
13 ; pyramid_range3_3d_agents ; 5 ; 0.04
14 ; pyramid_range3_3d_agents ; 5 ; 0.04
15 ; pyramid_range3_3d_agents ; 5 ; 0.04
16 ; pyramid_range3_3d_agents ; 5 ; 0.04
17 ; pyramid_range3_3d_agents ; 10 ; 0.04
18 ; pyramid_range3_3d_agents ; 2 ; 0.05
19 ; pyramid_range3_3d_agents ; 2 ; 0.05
20 ; pyramid_range3_3d_agents ; 2 ; 0.05
21 ; pyramid_range3_3d_agents ; 2 ; 0.05
22 ; pyramid_range3_3d_agents ; 2 ; 0.05
23 ; pyramid_range3_3d_agents ; 2 ; 0.05
24 ; pyramid_range3_3d_agents ; 2 ; 0.05
25 ; pyramid_range3_3d_agents ; 2 ; 0.05
26 ; pyramid_range3_3d_agents ; 2 ; 0.05
27 ; pyramid_range3_3d_agents ; 5 ; 0.05
28 ; pyramid_range3_3d_agents ; 5 ; 0.05
29 ; pyramid_range3_3d_agents ; 5 ; 0.05
30 ; pyramid_range3_3d_agents ; 5 ; 0.05
31 ; pyramid_range3_3d_agents ; 5 ; 0.05
32 ; pyramid_range3_3d_agents ; 5 ; 0.05
33 ; pyramid_range3_3d_agents ; 5 ; 0.05
34 ; pyramid_range3_3d_agents ; 5 ; 0.05
35 ; pyramid_range3_3d_agents ; 10 ; 0.05
36 ; pyramid_range3_3d_agents ; 10 ; 0.05
37 ; pyramid_range3_3d_agents ; 15 ; 0.05
38 ; pyramid_range3_3d_agents ; 2 ; 0.06
39 ; pyramid_range3_3d_agents ; 5 ; 0.06
40 ; pyramid_range3_3d_agents ; 5 ; 0.06
41 ; pyramid_range3_3d_agents ; 10 ; 0.06
42 ; pyramid_range3_3d_agents ; 10 ; 0.06
43 ; pyramid_range3_3d_agents ; 5 ; 0.07
44 ; pyramid_range3_3d_agents ; 5 ; 0.07
45 ; pyramid_range3_3d_agents ; 10 ; 0.07
46 ; pyramid_range3_3d_agents ; 10 ; 0.07
47 ; pyramid_range3_3d_agents ; 15 ; 0.07
48 ; pyramid_range3_3d_agents ; 10 ; 0.08
49 ; pyramid_range3_3d_agents ; 15 ; 0.08
50 ; pyramid_range3_3d_agents ; 15 ; 0.08
51 ; pyramid_range3_3d_agents ; 10 ; 0.09
52 ; pyramid_range3_3d_agents ; 10 ; 0.09
53 ; pyramid_range3_3d_agents ; 15 ; 0.09
54 ; pyramid_range3_3d_agents ; 10 ; 0.1
55 ; pyramid_range3_3d_agents ; 15 ; 0.1
56 ; pyramid_range3_3d_agents ; 10 ; 0.11
57 ; pyramid_range3_3d_agents ; 10 ; 0.11
58 ; pyramid_range3_3d_agents ; 10 ; 0.12
59 ; pyramid_range3_3d_agents ; 20 ; 0.12
60 ; pyramid_range3_3d_agents ; 20 ; 0.13
61 ; pyramid_range3_3d_agents ; 30 ; 0.13
62 ; pyramid_range3_3d_agents ; 2 ; 0.14
63 ; pyramid_range3_3d_agents ; 10 ; 0.14
64 ; pyramid_range3_3d_agents ; 15 ; 0.14
65 ; pyramid_range3_3d_agents ; 15 ; 0.14
66 ; pyramid_range3_3d_agents ; 20 ; 0.14
67 ; pyramid_range3_3d_agents ; 20 ; 0.14
68 ; pyramid_range3_3d_agents ; 20 ; 0.14
69 ; pyramid_range3_3d_agents ; 10 ; 0.15
70 ; pyramid_range3_3d_agents ; 15 ; 0.15
