id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.03
1 ; offices_range1_agents ; 2 ; 0.03
2 ; offices_range1_agents ; 2 ; 0.03
3 ; offices_range1_agents ; 5 ; 0.03
4 ; offices_range1_agents ; 5 ; 0.03
5 ; offices_range1_agents ; 2 ; 0.04
6 ; offices_range1_agents ; 2 ; 0.04
7 ; offices_range1_agents ; 2 ; 0.04
8 ; offices_range1_agents ; 2 ; 0.04
9 ; offices_range1_agents ; 2 ; 0.04
10 ; offices_range1_agents ; 2 ; 0.04
11 ; offices_range1_agents ; 2 ; 0.04
12 ; offices_range1_agents ; 5 ; 0.04
13 ; offices_range1_agents ; 5 ; 0.04
14 ; offices_range1_agents ; 5 ; 0.04
15 ; offices_range1_agents ; 5 ; 0.04
16 ; offices_range1_agents ; 5 ; 0.04
17 ; offices_range1_agents ; 5 ; 0.04
18 ; offices_range1_agents ; 5 ; 0.04
19 ; offices_range1_agents ; 5 ; 0.04
20 ; offices_range1_agents ; 2 ; 0.05
21 ; offices_range1_agents ; 2 ; 0.05
22 ; offices_range1_agents ; 5 ; 0.05
23 ; offices_range1_agents ; 5 ; 0.05
24 ; offices_range1_agents ; 5 ; 0.05
25 ; offices_range1_agents ; 5 ; 0.05
26 ; offices_range1_agents ; 5 ; 0.05
27 ; offices_range1_agents ; 5 ; 0.05
28 ; offices_range1_agents ; 10 ; 0.05
29 ; offices_range1_agents ; 10 ; 0.05
30 ; offices_range1_agents ; 10 ; 0.05
31 ; offices_range1_agents ; 10 ; 0.05
32 ; offices_range1_agents ; 10 ; 0.05
33 ; offices_range1_agents ; 2 ; 0.06
34 ; offices_range1_agents ; 5 ; 0.06
35 ; offices_range1_agents ; 5 ; 0.06
36 ; offices_range1_agents ; 10 ; 0.06
37 ; offices_range1_agents ; 2 ; 0.07
38 ; offices_range1_agents ; 2 ; 0.07
39 ; offices_range1_agents ; 2 ; 0.07
40 ; offices_range1_agents ; 2 ; 0.07
41 ; offices_range1_agents ; 2 ; 0.07
42 ; offices_range1_agents ; 10 ; 0.07
43 ; offices_range1_agents ; 10 ; 0.07
44 ; offices_range1_agents ; 15 ; 0.07
45 ; offices_range1_agents ; 15 ; 0.07
46 ; offices_range1_agents ; 2 ; 0.08
47 ; offices_range1_agents ; 5 ; 0.08
48 ; offices_range1_agents ; 10 ; 0.08
49 ; offices_range1_agents ; 15 ; 0.08
50 ; offices_range1_agents ; 20 ; 0.08
51 ; offices_range1_agents ; 10 ; 0.09
52 ; offices_range1_agents ; 15 ; 0.09
53 ; offices_range1_agents ; 15 ; 0.09
54 ; offices_range1_agents ; 15 ; 0.09
55 ; offices_range1_agents ; 10 ; 0.1
56 ; offices_range1_agents ; 10 ; 0.1
57 ; offices_range1_agents ; 15 ; 0.1
58 ; offices_range1_agents ; 15 ; 0.1
59 ; offices_range1_agents ; 15 ; 0.1
60 ; offices_range1_agents ; 15 ; 0.1
61 ; offices_range1_agents ; 20 ; 0.1
62 ; offices_range1_agents ; 10 ; 0.11
63 ; offices_range1_agents ; 15 ; 0.11
64 ; offices_range1_agents ; 20 ; 0.11
65 ; offices_range1_agents ; 15 ; 0.12
66 ; offices_range1_agents ; 15 ; 0.12
67 ; offices_range1_agents ; 15 ; 0.12
68 ; offices_range1_agents ; 15 ; 0.12
69 ; offices_range1_agents ; 20 ; 0.12
70 ; offices_range1_agents ; 20 ; 0.12
71 ; offices_range1_agents ; 15 ; 0.13
72 ; offices_range1_agents ; 15 ; 0.13
73 ; offices_range1_agents ; 2 ; 0.14
74 ; offices_range1_agents ; 5 ; 0.14
75 ; offices_range1_agents ; 10 ; 0.14
76 ; offices_range1_agents ; 15 ; 0.14
77 ; offices_range1_agents ; 20 ; 0.14
78 ; offices_range1_agents ; 20 ; 0.14
79 ; offices_range1_agents ; 15 ; 0.15
80 ; offices_range1_agents ; 15 ; 0.15
81 ; offices_range1_agents ; 20 ; 0.15
82 ; offices_range1_agents ; 20 ; 0.17
83 ; offices_range1_agents ; 20 ; 0.17
84 ; offices_range1_agents ; 10 ; 0.18
85 ; offices_range1_agents ; 10 ; 0.18
86 ; offices_range1_agents ; 20 ; 0.2
87 ; offices_range1_agents ; 20 ; 0.21
88 ; offices_range1_agents ; 30 ; 0.21
89 ; offices_range1_agents ; 20 ; 0.22
90 ; offices_range1_agents ; 30 ; 0.22
91 ; offices_range1_agents ; 30 ; 0.22
92 ; offices_range1_agents ; 30 ; 0.22
93 ; offices_range1_agents ; 10 ; 0.23
94 ; offices_range1_agents ; 10 ; 0.29
95 ; offices_range1_agents ; 30 ; 0.29
96 ; offices_range1_agents ; 40 ; 0.3
97 ; offices_range1_agents ; 20 ; 0.33
98 ; offices_range1_agents ; 40 ; 0.34
99 ; offices_range1_agents ; 10 ; 0.36
100 ; offices_range1_agents ; 20 ; 0.36
101 ; offices_range1_agents ; 30 ; 0.38
102 ; offices_range1_agents ; 30 ; 0.39
103 ; offices_range1_agents ; 10 ; 0.4
104 ; offices_range1_agents ; 30 ; 0.41
105 ; offices_range1_agents ; 30 ; 0.42
106 ; offices_range1_agents ; 30 ; 0.42
107 ; offices_range1_agents ; 40 ; 0.46
108 ; offices_range1_agents ; 20 ; 0.48
